DU,GPS Longitude (deg),GPS Latitude (deg),GPS Altitude (m)
1013,93.95410804236182,40.99369603366219,1205.6235500000014
1021,93.9691503594851,40.986138833695556,1206.6216499999994
1033,93.95918017428741,40.98753111957938,1210.405099999997
1032,93.96398853095211,40.98436938669762,1221.6475500000022
1016,93.94901105277184,40.991328301764874,1206.9553000000008
1022,93.96543079468313,40.992842510795214,1190.02375
1019,93.95947389258966,40.9911983755276,1205.3408000000015
1020,93.96948891192302,40.99119221423984,1200.869749999995
1035,93.95419581882777,40.984496676908094,1215.1460499999996
1017,93.95379403756728,40.97983970972661,1216.8851999999945
1031,93.94877331192643,40.98684716920288,1215.9129000000046
1010,93.96479644296008,40.979923107536884,1220.0274499999953
1029,93.95911395441033,40.97809281522466,1223.4458999999981
